"filename", "language", "SCSS", "TypeScript", "HTML", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-dark-blue\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-dark-indigo\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-dark-purple\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-dark-teal\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-light-blue\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-light-indigo\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-light-purple\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\lara-light-teal\theme.css", "CSS", 0, 0, 0, -6189, 0, 0, -2, -198, -6389
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\md-dark-deeppurple\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\md-dark-indigo\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\md-light-deeppurple\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\md-light-indigo\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\mdc-dark-deeppurple\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\mdc-dark-indigo\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\mdc-light-deeppurple\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\mdc-light-indigo\theme.css", "CSS", 0, 0, 0, -7631, 0, 0, -11, -290, -7932
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\saga-blue\theme.css", "CSS", 0, 0, 0, -6199, 0, 0, -3, -194, -6396
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\saga-green\theme.css", "CSS", 0, 0, 0, -6199, 0, 0, -3, -194, -6396
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\saga-orange\theme.css", "CSS", 0, 0, 0, -6199, 0, 0, -3, -194, -6396
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\saga-purple\theme.css", "CSS", 0, 0, 0, -6199, 0, 0, -3, -194, -6396
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\tailwind-light\theme.css", "CSS", 0, 0, 0, -6281, 0, 0, -8, -202, -6491
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\vela-blue\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\vela-green\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\vela-orange\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\vela-purple\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\config.ts", "TypeScript", 0, -16, 0, 0, 0, 0, -1, -8, -25
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\environments\environment.prod.ts", "TypeScript", 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\environments\environment.ts", "TypeScript", 0, -3, 0, 0, 0, 0, -11, -3, -17
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\index.html", "HTML", 0, 0, -18, 0, 0, 0, 0, -4, -22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\main.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, -4, -13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\styles.scss", "SCSS", -8, 0, 0, 0, 0, 0, -17, -9, -34
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\test.ts", "TypeScript", 0, -16, 0, 0, 0, 0, -6, -5, -27
"Total", "-", -640, -50, -18, -222409, -461, -7421, -203, -7600, -238802
