"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blockviewer\blockviewer.component.scss", "SCSS", 0, 90, 0, 0, 16, 106
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blockviewer\blockviewer.component.ts", "TypeScript", 54, 0, 0, 1, 16, 71
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\primeblocks-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\primeblocks.module.ts", "TypeScript", 29, 0, 0, 0, 2, 31
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.component.html", "HTML", 0, 0, 158, 0, 12, 170
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.component.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\button\buttondemo.module.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.component.html", "HTML", 0, 0, 30, 0, 5, 35
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.component.ts", "TypeScript", 242, 0, 0, 0, 28, 270
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\charts\chartsdemo.module.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.component.html", "HTML", 0, 0, 17, 0, 2, 19
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.component.ts", "TypeScript", 19, 0, 0, 0, 8, 27
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\file\filedemo.module.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.component.html", "HTML", 0, 0, 86, 0, 1, 87
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.component.ts", "TypeScript", 47, 0, 0, 3, 21, 71
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\floatlabel\floatlabeldemo.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.component.html", "HTML", 0, 0, 102, 0, 6, 108
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.component.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\formlayout\formlayoutdemo.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.component.html", "HTML", 0, 0, 184, 0, 19, 203
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.component.ts", "TypeScript", 55, 0, 0, 0, 26, 81
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\input\inputdemo.module.ts", "TypeScript", 58, 0, 0, 0, 2, 60
